filename,weight,comment,date_order
__meta,,,asc
feature_aina.JPG,100,AiNA THE END<br>革命道中<br>2025.10.31 at Zepp DiverCity<br>,
howhigh.jpg,200,Agestock 2024<br>2024.03.03 at 代々木第一体育館<br>,
lightband.JPG,300,"ExWHYZ<br>'(unfinished) odds and ends'<br>2025.07.05 at 小樽GOLDSTONE"<br>,
heart.JPG,400,ライブナタリー<br>2025.09.03 at 渋谷duo MUSIC EXCHANGE<br>,
d.jpg,500,BiSH / AYUNi D<br>PUNK SWiNDLE TOUR<br>2023.06.01 at 市川市文化会館<br>,
promise.JPG,600,BiSH<br>PUNK SWiNDLE TOUR<br>2023.06.01 at 市川市文化会館<br>,
leona_yoyogi.jpg,700,豆柴の大群 / レオナエンパイア<br>Agestock 2025<br>2025.03.02 at 代々木第一体育館<br>,
wack.jpg,800,WACK<br>Agestock 2025<br>2025.03.02 at 代々木第一体育館<br>,
osawa.JPG,900,Shinichi Osawa (as a guest)<br>ExWHYZ Special Live 'I'<br>-3rd Anniversary Final & Year End Party-<br>2025.12.27 at Kanadevia Hall<br>,
leona_towerrecord.JPG,1000,"豆柴の大群 / レオナエンパイア<br>'NO BEAN, NO BARK' Release Event<br>2025.12.28 at Tower Records Shibuya<br>",
